Time stamp;Contador;RSSI_DL;PSR;Status LED NodeMCU; Status LED Esp
Thu Dec  1 10:24:44 2022 ; 1803 ;; 86.08 ;;
Thu Dec  1 10:24:45 2022 ; 1804 ;; 86.03 ;;
Thu Dec  1 10:24:46 2022 ; 1805 ;; 85.98 ;;
Thu Dec  1 10:24:47 2022 ; 1806 ;; 85.94 ;;
Thu Dec  1 10:24:48 2022 ; 1807 ;; 85.89 ;;
Thu Dec  1 10:24:49 2022 ; 1808 ;; 85.84 ;;
Thu Dec  1 10:24:50 2022 ; 1809 ;; 85.79 ;;
Thu Dec  1 10:24:51 2022 ; 1810 ;; 85.75 ;;
Thu Dec  1 10:24:52 2022 ; 1811 ;; 85.7 ;;
Thu Dec  1 10:24:53 2022 ; 1812 ;; 85.65 ;;
Thu Dec  1 10:24:54 2022 ; 1813 ;; 85.6 ;;
Thu Dec  1 10:24:55 2022 ; 1814 ;; 85.56 ;;
Thu Dec  1 10:24:57 2022 ; 1815 ;; 85.51 ;;
Thu Dec  1 10:24:58 2022 ; 1816 ;; 85.46 ;;
Thu Dec  1 10:24:59 2022 ; 1817 ;; 85.42 ;;
Thu Dec  1 10:25:00 2022 ; 1818 ;; 85.37 ;;
Thu Dec  1 10:25:01 2022 ; 1819 ;; 85.32 ;;
Thu Dec  1 10:25:02 2022 ; 1820 ;; 85.27 ;;
Thu Dec  1 10:25:03 2022 ; 1821 ;; 85.23 ;;
Thu Dec  1 10:25:04 2022 ; 1822 ;; 85.18 ;;
Thu Dec  1 10:25:05 2022 ; 1823 ;; 85.13 ;;
Thu Dec  1 10:25:06 2022 ; 1824 ;; 85.09 ;;
Thu Dec  1 10:25:07 2022 ; 1825 ;; 85.04 ;;
Thu Dec  1 10:25:08 2022 ; 1826 ;; 84.99 ;;
Thu Dec  1 10:25:10 2022 ; 1827 ;; 84.95 ;;
Thu Dec  1 10:25:11 2022 ; 1828 ;; 84.9 ;;
Thu Dec  1 10:25:12 2022 ; 1829 ;; 84.86 ;;
Thu Dec  1 10:25:13 2022 ; 1830 ;; 84.81 ;;
Thu Dec  1 10:25:14 2022 ; 1831 ;; 84.76 ;;
Thu Dec  1 10:25:15 2022 ; 1832 ;; 84.72 ;;
Thu Dec  1 10:25:16 2022 ; 1833 ;; 84.67 ;;
Thu Dec  1 10:25:17 2022 ; 1834 ;; 84.62 ;;
Thu Dec  1 10:25:18 2022 ; 1835 ;; 84.58 ;;
Thu Dec  1 10:25:19 2022 ; 1836 ;; 84.53 ;;
Thu Dec  1 10:25:20 2022 ; 1837 ;; 84.49 ;;
Thu Dec  1 10:25:22 2022 ; 1838 ;; 84.44 ;;
Thu Dec  1 10:25:23 2022 ; 1839 ;; 84.39 ;;
Thu Dec  1 10:25:24 2022 ; 1840 ;; 84.35 ;;
Thu Dec  1 10:25:25 2022 ; 1841 ;; 84.3 ;;
Thu Dec  1 10:25:26 2022 ; 1842 ;; 84.26 ;;
Thu Dec  1 10:25:27 2022 ; 1843 ;; 84.21 ;;
Thu Dec  1 10:25:28 2022 ; 1844 ;; 84.16 ;;
Thu Dec  1 10:25:29 2022 ; 1845 ;; 84.12 ;;
Thu Dec  1 10:25:30 2022 ; 1846 ;; 84.07 ;;
Thu Dec  1 10:25:31 2022 ; 1847 ;; 84.03 ;;
Thu Dec  1 10:25:33 2022 ; 1848 ;; 83.98 ;;
Thu Dec  1 10:25:34 2022 ; 1849 ;; 83.94 ;;
Thu Dec  1 10:25:35 2022 ; 1850 ;; 83.89 ;;
Thu Dec  1 10:25:36 2022 ; 1851 ;; 83.85 ;;
Thu Dec  1 10:25:37 2022 ; 1852 ;; 83.8 ;;
Thu Dec  1 10:25:38 2022 ; 1853 ;; 83.76 ;;
Thu Dec  1 10:25:39 2022 ; 1854 ;; 83.71 ;;
Thu Dec  1 10:25:40 2022 ; 1855 ;; 83.67 ;;
Thu Dec  1 10:25:41 2022 ; 1856 ;; 83.62 ;;
Thu Dec  1 10:25:42 2022 ; 1857 ;; 83.58 ;;
Thu Dec  1 10:25:43 2022 ; 1858 ;; 83.53 ;;
Thu Dec  1 10:25:45 2022 ; 1859 ;; 83.49 ;;
Thu Dec  1 10:25:46 2022 ; 1860 ;; 83.44 ;;
Thu Dec  1 10:25:47 2022 ; 1861 ;; 83.4 ;;
Thu Dec  1 10:25:48 2022 ; 1862 ;; 83.35 ;;
Thu Dec  1 10:25:49 2022 ; 1863 ;; 83.31 ;;
Thu Dec  1 10:25:50 2022 ; 1864 ;; 83.26 ;;
Thu Dec  1 10:25:51 2022 ; 1865 ;; 83.22 ;;
Thu Dec  1 10:25:52 2022 ; 1866 ;; 83.17 ;;
Thu Dec  1 10:25:53 2022 ; 1867 ;; 83.13 ;;
